year,eu_member_state,assault,burglary,drug_offenses,intentional_homicide,kidnapping,rape,robbery,sexual_assault,sexual_violence,theft,police_officers,male_police_officers,female_police_officers,prison_personell,male_prison_personell,female_prison_personell,total_prison_population,adult_male_prisoners,adult_female_prisoners,juvenile_prison_population,native_prisoners,foreign_prisoners
2008,Ireland,16186,24682,5311,89,77,348,2299,903,1251,32554,14411,10233,3229,3281,2702,579,3484,2613,825,46,3027,457
2009,Ireland,15580,26910,5165,88,146,329,2491,1014,1343,33902,14547,10231,3273,3225,2649,576,3868,2790,1023,55,3368,500
2010,Ireland,15038,25420,5482,89,134,442,3196,1711,2153,35415,14377,10099,3280,3105,2693,412,4318,3122,1147,49,3728,590
2011,Ireland,14709,27695,5021,66,109,451,2931,1376,1827,36581,13894,10110,3342,3310,2812,498,4216,3054,1108,54,3704,512
2012,Ireland,13566,28133,4629,79,101,517,2817,1459,1976,37954,13424,10060,3363,3433,2943,490,4287,3118,1126,43,3739,548
2013,Ireland,12644,26218,4191,83,124,453,2806,1433,1886,31369,13093,10305,3456,3432,2912,520,4088,3188,832,68,3654,434
2014,Ireland,13206,27575,4958,80,125,477,2648,1436,1913,39970,12799,10423,3421,3380,2909,471,4218,3084,1062,72,3833,385
2008,Northern Ireland,1549,12040,607,24,83,368,1149,1409,1777,24380,8723,6653,2070,1753,1282,471,1543,1460,47,36,1398,127
2009,Northern Ireland,1605,12699,631,29,82,422,1315,1347,1769,25672,8396,6282,2114,1791,1262,529,1525,1460,47,18,1394,131
2010,Northern Ireland,1451,11852,742,23,56,498,1349,1371,1869,23579,8159,5993,2166,1759,1250,509,1465,1402,46,17,1364,101
2011,Northern Ireland,1446,11242,806,23,66,548,1269,1301,1849,24480,7855,5690,2165,2143,1449,694,1673,1624,45,4,1531,142
2012,Northern Ireland,1278,9521,912,21,45,503,1040,1359,1862,23824,7558,5444,2114,1791,1210,581,1682,1615,51,16,1564,118
2013,Northern Ireland,1093,9125,924,20,59,497,969,1612,2109,25168,7331,5266,2065,1920,1315,605,1796,1720,64,12,1652,144
2014,Northern Ireland,1171,8889,915,17,44,655,906,1899,2554,24806,7324,5262,2062,1827,1190,637,1709,1641,58,10,1576,133
2008,Scotland,7892,25496,10315,95,319,821,2963,3297,4118,117033,16675,12711,3964,3321,2531,790,7827,6438,367,1021,7559,268
2009,Scotland,5621,23774,9901,84,269,884,2496,3412,4296,106587,17273,12924,4349,3694,2809,885,7964,6561,380,1023,7654,310
2010,Scotland,5493,25017,7138,95,260,997,2557,3220,4217,107894,17217,12758,4459,3708,2782,926,7853,6602,385,866,7581,272
2011,Scotland,4693,24222,6684,91,219,1183,2244,2908,4091,108956,17343,12707,4636,3549,2736,813,8178,6974,424,780,7905,273
2012,Scotland,3643,21515,5136,73,227,1372,1832,3008,4380,94551,17436,12676,4760,4350,3256,1094,8057,6941,425,690,7769,288
2013,Scotland,3268,22272,4806,63,254,1690,1499,3405,5095,95894,17258,12465,4793,4510,3319,1191,7894,6921,406,566,7626,268
2014,Scotland,3166,20607,4787,60,234,1797,1497,3727,5524,89598,17254,12377,4877,4628,3357,1271,7731,6800,399,532,7591,288
2008,England ,393972,546689,28092,600,1913,12310,75322,20881,33191,1497193,135144,101189,33954,48165,30838,17327,76774,70321,4079,2374,66443,9501
2009,England ,375730,508206,31230,559,1748,14170,70599,20899,35069,1385834,135110,100341,34769,43672,28407,15275,76926,71001,3932,1993,66607,9370
2010,England ,344865,491322,30396,595,1614,14938,71618,21829,36767,1389885,130763,96422,34340,42319,27420,14908,78964,73462,3945,1557,66716,9609
2011,England ,316655,470985,29437,496,1425,15076,70207,20924,36000,1392775,126054,92250,33804,39630,25606,14025,79362,73980,3897,1485,68615,9304
2012,England ,292296,432207,27960,514,1305,15392,61246,21203,36594,1279649,121809,88531,33277,37600,24515,13085,79793,74749,3841,1203,68805,9181
2013,England ,302241,416619,27587,494,1624,19503,54358,24806,44309,1247049,120234,86721,33514,32148,20896,11252,76971,72579,3579,813,67798,8390
2014,England ,350288,386767,25404,512,2066,27509,47222,33129,60638,1192083,119209,85616,33594,30381,19590,10791,78657,74295,3667,696,69522,8544
2008,Wales,25147,34895,1793,38,122,786,4808,1333,2119,95565,8626,6459,2167,3074,1968,1106,4900,4489,260,152,4241,606
2009,Wales,23983,32439,1993,36,112,904,4506,1334,2238,88457,8624,6405,2219,2788,1813,975,4910,4532,251,127,4252,598
2010,Wales,22013,31361,1940,38,103,954,4571,1393,2347,88716,8347,6155,2192,2701,1750,952,5040,4689,252,99,4258,613
2011,Wales,20212,30063,1879,32,91,962,4481,1336,2298,88901,8046,5888,2158,2530,1634,895,5066,4722,249,95,4380,594
2012,Wales,18657,27588,1785,33,83,982,3909,1353,2336,81680,7775,5651,2124,2400,1565,835,5093,4771,245,77,4392,586
2013,Wales,19292,26593,1761,32,104,1245,3470,1583,2828,79599,7675,5535,2139,2052,1334,718,4913,4633,228,52,4328,536
2014,Wales,22359,24687,1622,33,132,1756,3014,2115,3871,76090,7609,5465,2144,1939,1250,689,5021,4742,234,44,4438,545
