category,eu_ember_state,year,amount
intentional_homicide,Belgium,2008,203
intentional_homicide,Belgium,2009,189
intentional_homicide,Belgium,2010,189
intentional_homicide,Belgium,2011,214
intentional_homicide,Belgium,2012,202
intentional_homicide,Belgium,2013,202
intentional_homicide,Belgium,2014,202
intentional_homicide,Bulgaria,2008,172
intentional_homicide,Bulgaria,2009,150
intentional_homicide,Bulgaria,2010,148
intentional_homicide,Bulgaria,2011,128
intentional_homicide,Bulgaria,2012,141
intentional_homicide,Bulgaria,2013,109
intentional_homicide,Bulgaria,2014,116
intentional_homicide,Czech Republic,2008,113
intentional_homicide,Czech Republic,2009,105
intentional_homicide,Czech Republic,2010,105
intentional_homicide,Czech Republic,2011,83
intentional_homicide,Czech Republic,2012,95
intentional_homicide,Czech Republic,2013,91
intentional_homicide,Czech Republic,2014,84
intentional_homicide,Denmark,2008,54
intentional_homicide,Denmark,2009,47
intentional_homicide,Denmark,2010,42
intentional_homicide,Denmark,2011,44
intentional_homicide,Denmark,2012,40
intentional_homicide,Denmark,2013,42
intentional_homicide,Denmark,2014,58
intentional_homicide,Germany,2008,656
intentional_homicide,Germany,2009,721
intentional_homicide,Germany,2010,699
intentional_homicide,Germany,2011,689
intentional_homicide,Germany,2012,619
intentional_homicide,Germany,2013,623
intentional_homicide,Germany,2014,645
intentional_homicide,Estonia,2008,84
intentional_homicide,Estonia,2009,70
intentional_homicide,Estonia,2010,70
intentional_homicide,Estonia,2011,65
intentional_homicide,Estonia,2012,63
intentional_homicide,Estonia,2013,52
intentional_homicide,Estonia,2014,41
intentional_homicide,Ireland,2008,89
intentional_homicide,Ireland,2009,88
intentional_homicide,Ireland,2010,89
intentional_homicide,Ireland,2011,66
intentional_homicide,Ireland,2012,79
intentional_homicide,Ireland,2013,83
intentional_homicide,Ireland,2014,80
intentional_homicide,Greece,2008,139
intentional_homicide,Greece,2009,143
intentional_homicide,Greece,2010,176
intentional_homicide,Greece,2011,184
intentional_homicide,Greece,2012,165
intentional_homicide,Greece,2013,141
intentional_homicide,Greece,2014,105
intentional_homicide,Spain,2008,407
intentional_homicide,Spain,2009,412
intentional_homicide,Spain,2010,401
intentional_homicide,Spain,2011,385
intentional_homicide,Spain,2012,364
intentional_homicide,Spain,2013,302
intentional_homicide,Spain,2014,323
intentional_homicide,France,2008,1021
intentional_homicide,France,2009,819
intentional_homicide,France,2010,796
intentional_homicide,France,2011,856
intentional_homicide,France,2012,784
intentional_homicide,France,2013,777
intentional_homicide,France,2014,792
intentional_homicide,Croatia,2008,71
intentional_homicide,Croatia,2009,49
intentional_homicide,Croatia,2010,62
intentional_homicide,Croatia,2011,49
intentional_homicide,Croatia,2012,51
intentional_homicide,Croatia,2013,46
intentional_homicide,Croatia,2014,36
intentional_homicide,Italy,2008,615
intentional_homicide,Italy,2009,590
intentional_homicide,Italy,2010,529
intentional_homicide,Italy,2011,552
intentional_homicide,Italy,2012,530
intentional_homicide,Italy,2013,504
intentional_homicide,Italy,2014,475
intentional_homicide,Cyprus,2008,9
intentional_homicide,Cyprus,2009,19
intentional_homicide,Cyprus,2010,7
intentional_homicide,Cyprus,2011,8
intentional_homicide,Cyprus,2012,19
intentional_homicide,Cyprus,2013,11
intentional_homicide,Cyprus,2014,10
intentional_homicide,Latvia,2008,99
intentional_homicide,Latvia,2009,108
intentional_homicide,Latvia,2010,70
intentional_homicide,Latvia,2011,69
intentional_homicide,Latvia,2012,97
intentional_homicide,Latvia,2013,69
intentional_homicide,Latvia,2014,77
intentional_homicide,Lithuania,2008,286
intentional_homicide,Lithuania,2009,240
intentional_homicide,Lithuania,2010,199
intentional_homicide,Lithuania,2011,189
intentional_homicide,Lithuania,2012,181
intentional_homicide,Lithuania,2013,172
intentional_homicide,Lithuania,2014,155
intentional_homicide,Luxembourg,2008,7
intentional_homicide,Luxembourg,2009,5
intentional_homicide,Luxembourg,2010,8
intentional_homicide,Luxembourg,2011,4
intentional_homicide,Luxembourg,2012,3
intentional_homicide,Luxembourg,2013,1
intentional_homicide,Luxembourg,2014,4
intentional_homicide,Hungary,2008,147
intentional_homicide,Hungary,2009,139
intentional_homicide,Hungary,2010,133
intentional_homicide,Hungary,2011,142
intentional_homicide,Hungary,2012,113
intentional_homicide,Hungary,2013,138
intentional_homicide,Hungary,2014,129
intentional_homicide,Malta,2008,6
intentional_homicide,Malta,2009,4
intentional_homicide,Malta,2010,4
intentional_homicide,Malta,2011,3
intentional_homicide,Malta,2012,10
intentional_homicide,Malta,2013,6
intentional_homicide,Malta,2014,6
intentional_homicide,Netherlands,2008,150
intentional_homicide,Netherlands,2009,154
intentional_homicide,Netherlands,2010,144
intentional_homicide,Netherlands,2011,143
intentional_homicide,Netherlands,2012,145
intentional_homicide,Netherlands,2013,125
intentional_homicide,Netherlands,2014,0
intentional_homicide,Austria,2008,58
intentional_homicide,Austria,2009,51
intentional_homicide,Austria,2010,58
intentional_homicide,Austria,2011,78
intentional_homicide,Austria,2012,87
intentional_homicide,Austria,2013,61
intentional_homicide,Austria,2014,40
intentional_homicide,Poland,2008,460
intentional_homicide,Poland,2009,493
intentional_homicide,Poland,2010,436
intentional_homicide,Poland,2011,449
intentional_homicide,Poland,2012,377
intentional_homicide,Poland,2013,298
intentional_homicide,Poland,2014,283
intentional_homicide,Portugal,2008,124
intentional_homicide,Portugal,2009,130
intentional_homicide,Portugal,2010,124
intentional_homicide,Portugal,2011,114
intentional_homicide,Portugal,2012,122
intentional_homicide,Portugal,2013,144
intentional_homicide,Portugal,2014,92
intentional_homicide,Romania,2008,470
intentional_homicide,Romania,2009,397
intentional_homicide,Romania,2010,404
intentional_homicide,Romania,2011,335
intentional_homicide,Romania,2012,378
intentional_homicide,Romania,2013,336
intentional_homicide,Romania,2014,298
intentional_homicide,Slovenia,2008,11
intentional_homicide,Slovenia,2009,13
intentional_homicide,Slovenia,2010,11
intentional_homicide,Slovenia,2011,17
intentional_homicide,Slovenia,2012,14
intentional_homicide,Slovenia,2013,12
intentional_homicide,Slovenia,2014,17
intentional_homicide,Slovakia,2008,94
intentional_homicide,Slovakia,2009,84
intentional_homicide,Slovakia,2010,89
intentional_homicide,Slovakia,2011,96
intentional_homicide,Slovakia,2012,75
intentional_homicide,Slovakia,2013,78
intentional_homicide,Slovakia,2014,58
intentional_homicide,Finland,2008,133
intentional_homicide,Finland,2009,120
intentional_homicide,Finland,2010,117
intentional_homicide,Finland,2011,109
intentional_homicide,Finland,2012,88
intentional_homicide,Finland,2013,88
intentional_homicide,Finland,2014,89
intentional_homicide,Sweden,2008,82
intentional_homicide,Sweden,2009,93
intentional_homicide,Sweden,2010,91
intentional_homicide,Sweden,2011,81
intentional_homicide,Sweden,2012,68
intentional_homicide,Sweden,2013,87
intentional_homicide,Sweden,2014,87
intentional_homicide,UK England and Wales,2008,638
intentional_homicide,UK England and Wales,2009,595
intentional_homicide,UK England and Wales,2010,633
intentional_homicide,UK England and Wales,2011,528
intentional_homicide,UK England and Wales,2012,547
intentional_homicide,UK England and Wales,2013,526
intentional_homicide,UK England and Wales,2014,0
intentional_homicide,UK Scotland,2008,95
intentional_homicide,UK Scotland,2009,84
intentional_homicide,UK Scotland,2010,95
intentional_homicide,UK Scotland,2011,91
intentional_homicide,UK Scotland,2012,73
intentional_homicide,UK Scotland,2013,63
intentional_homicide,UK Scotland,2014,60
intentional_homicide,UK Northern Ireland,2008,24
intentional_homicide,UK Northern Ireland,2009,29
intentional_homicide,UK Northern Ireland,2010,23
intentional_homicide,UK Northern Ireland,2011,23
intentional_homicide,UK Northern Ireland,2012,21
intentional_homicide,UK Northern Ireland,2013,20
intentional_homicide,UK Northern Ireland,2014,17
intentional_homicide,Iceland,2008,0
intentional_homicide,Iceland,2009,1
intentional_homicide,Iceland,2010,2
intentional_homicide,Iceland,2011,3
intentional_homicide,Iceland,2012,1
intentional_homicide,Iceland,2013,1
intentional_homicide,Iceland,2014,0
intentional_homicide,Liechtenstein,2008,1
intentional_homicide,Liechtenstein,2009,0
intentional_homicide,Liechtenstein,2010,1
intentional_homicide,Liechtenstein,2011,0
intentional_homicide,Liechtenstein,2012,0
intentional_homicide,Liechtenstein,2013,0
intentional_homicide,Liechtenstein,2014,1
intentional_homicide,Norway,2008,34
intentional_homicide,Norway,2009,29
intentional_homicide,Norway,2010,29
intentional_homicide,Norway,2011,111
intentional_homicide,Norway,2012,27
intentional_homicide,Norway,2013,46
intentional_homicide,Norway,2014,29
intentional_homicide,Switzerland,2008,54
intentional_homicide,Switzerland,2009,51
intentional_homicide,Switzerland,2010,53
intentional_homicide,Switzerland,2011,46
intentional_homicide,Switzerland,2012,47
intentional_homicide,Switzerland,2013,57
intentional_homicide,Switzerland,2014,41
intentional_homicide,Montenegro,2008,22
intentional_homicide,Montenegro,2009,10
intentional_homicide,Montenegro,2010,13
intentional_homicide,Montenegro,2011,19
intentional_homicide,Montenegro,2012,15
intentional_homicide,Montenegro,2013,9
intentional_homicide,Montenegro,2014,19
intentional_homicide,FYR of Macedonia,2008,35
intentional_homicide,FYR of Macedonia,2009,35
intentional_homicide,FYR of Macedonia,2010,39
intentional_homicide,FYR of Macedonia,2011,27
intentional_homicide,FYR of Macedonia,2012,28
intentional_homicide,FYR of Macedonia,2013,20
intentional_homicide,FYR of Macedonia,2014,25
intentional_homicide,Albania,2008,88
intentional_homicide,Albania,2009,82
intentional_homicide,Albania,2010,118
intentional_homicide,Albania,2011,124
intentional_homicide,Albania,2012,125
intentional_homicide,Albania,2013,107
