year,eu_member_state,assault,burglary,drugs,intentional_homicide,kidnapping,rape,robbery,sexual_assault,sexual_violence,theft,police_officers,male_police_officers,female_police_officers,prison_personell,male_prison_personell,female_prison_personell,total_prison_population,adult_male_prisoners,adult_female_prisoners,juvenile_prison_population,native_prisoners,foreign_prisoners,population
2008,Austria,3945,104296,1980,61,11,693,4786,3492,4185,164959,26623,23701,2922,3935,3066,869,8248,7682,396,170,4899,3349,8611000
2009,Austria,4023,107407,2099,51,5,779,4577,3057,3836,161394,26623,23456,3167,3884,2999,885,8708,7453,460,186,4734,3974,8611000
2010,Austria,3606,88508,2167,58,9,875,4310,3082,3957,150728,27538,23939,3599,3920,3024,896,8813,7599,511,173,4794,4019,8611000
2011,Austria,3897,84277,2320,78,5,977,4066,3622,4599,144326,27614,24107,3507,3920,3013,907,8954,7734,538,163,4851,4103,8611000
2012,Austria,4030,85238,1990,87,11,883,4092,3906,4789,146520,27767,24072,3695,3891,2981,910,8805,8113,568,124,4625,4180,8611000
2013,Austria,3734,88703,2156,61,4,920,3737,3636,4556,148861,27783,23744,4039,3868,2933,935,8862,8221,538,103,4489,4373,8611000
2014,Austria,3640,85487,2183,40,1,839,3481,3377,4216,144073,27901,23699,4202,3947,2951,996,8692,8111,501,80,4243,4449,8611000
2008,Denmark,11203,93607,3237,54,10,396,3397,1441,1837,190042,10740,9506,1234,3750,2304,1446,3451,3296,155,9,2659,792,5676000
2009,Denmark,10573,107140,2849,47,7,352,4020,1304,1656,187179,10845,9542,1303,3791,2312,1479,3721,3523,178,20,2910,811,5676000
2010,Denmark,10598,96704,3297,42,13,342,3369,1732,2074,191108,11084,9702,1382,3801,2313,1488,3944,3743,183,17,3091,853,5676000
2011,Denmark,10373,92937,3580,44,9,342,3273,1641,1983,197482,10868,9477,1391,3775,2284,1491,3947,3774,164,9,3109,838,5676000
2012,Denmark,9557,80895,3662,40,4,317,2987,1676,1993,191933,10797,9380,1417,3762,2272,1490,3829,3673,149,7,2850,979,5676000
2013,Denmark,9260,78897,4151,42,12,351,3192,1615,1966,188135,10748,9299,1449,3723,2249,1474,4091,3890,189,12,2993,1098,5676000
2014,Denmark,9295,69617,5055,58,14,462,2315,1605,2067,170892,10594,9117,1477,3628,2186,1442,3583,3429,145,9,2581,1002,5676000
2008,Finland,34778,18656,5659,133,0,915,1696,670,1585,120214,8149,7067,1082,2781,1783,998,3530,3219,218,93,3197,333,5482000
2009,Finland,32878,19186,7267,120,3,660,1640,477,1137,124421,8248,7102,1146,2741,1751,990,3589,3249,238,102,3233,356,5482000
2010,Finland,33063,18576,7566,117,1,818,1508,497,1315,121746,8102,6954,1148,2687,1683,1004,3364,3046,245,73,2990,374,5482000
2011,Finland,40154,19179,8301,109,3,1039,1622,515,1554,123818,8121,6911,1210,2626,1627,999,3268,2969,228,71,2832,436,5482000
2012,Finland,38213,18027,8810,88,1,1009,1616,880,1889,113296,7977,6772,1205,2596,1584,1012,3306,3000,219,87,2828,478,5482000
2013,Finland,35503,17168,9878,88,1,975,1524,567,1542,117388,7680,6491,1189,2436,1532,904,3295,2960,253,82,2837,458,5482000
2014,Finland,32919,18356,8100,89,1,1009,1689,473,1482,117372,7666,6440,1226,2402,1514,888,3148,2810,237,101,2665,483,5482000
2008,Ireland,16186,24682,5311,89,77,348,2299,903,1251,62554,14411,10233,3229,3281,2702,579,3484,3313,111,46,3027,443,4641000
2009,Ireland,15580,26910,5165,88,146,329,2491,1014,1343,63902,14547,10231,3273,3225,2649,576,3868,3690,123,55,3368,500,4641000
2010,Ireland,15038,25420,5482,89,134,442,3196,1711,2153,65415,14377,10099,3280,3105,2693,412,4318,4122,147,49,3728,590,4641000
2011,Ireland,14709,27695,5021,66,109,451,2931,1376,1827,66581,13894,10110,3342,3310,2812,498,4216,4054,138,34,3704,522,4641000
2012,Ireland,13566,28133,4629,79,101,517,2817,1459,1976,67954,13424,10060,3363,3433,2943,490,4287,4118,155,23,3739,557,4641000
2013,Ireland,12644,26218,4191,83,124,453,2806,1433,1886,71369,13093,10305,3456,3432,2912,520,4088,3588,122,8,3054,420,4641000
2014,Ireland,13206,27575,4233,80,125,477,2648,1436,1913,69970,12799,10423,3421,3380,2909,471,4218,3084,120,12,2833,171,4641000
2008,Northern Ireland,1549,12040,607,24,83,368,1149,1409,1777,24380,8723,6653,2070,1753,1282,471,1543,1460,47,41,1398,127,1811000
2009,Northern Ireland,1605,12699,631,29,82,422,1315,1347,1769,25672,8396,6282,2114,1791,1262,529,1525,1460,47,18,1394,131,1811000
2010,Northern Ireland,1451,11852,742,23,56,498,1349,1371,1869,23579,8159,5993,2166,1759,1250,509,1465,1402,46,17,1364,101,1811000
2011,Northern Ireland,1446,11242,806,23,66,548,1269,1301,1849,24480,7855,5690,2165,2143,1449,694,1673,1624,45,4,1531,142,1811000
2012,Northern Ireland,1278,9521,912,21,45,503,1040,1359,1862,23824,7558,5444,2114,1791,1210,581,1682,1621,51,10,1564,118,1811000
2013,Northern Ireland,1093,9125,924,20,59,497,969,1612,2109,25168,7331,5266,2065,1920,1350,570,1796,1721,64,11,1652,144,1811000
2014,Northern Ireland,1171,8889,915,17,44,655,906,1899,2554,24806,7324,5262,2062,1827,1311,516,1709,1639,58,12,1576,133,1811000
2008,Norway,3279,22014,17547,34,10,944,1598,1352,2296,126182,7505,6042,1463,3056,1960,1096,3477,3222,192,5,2345,1132,5196000
2009,Norway,3093,23676,18616,29,12,998,1776,1412,2410,133420,7647,6101,1546,3151,1997,1154,3340,3043,211,8,2208,1132,5196000
2010,Norway,2925,21298,21954,29,15,938,1687,1513,2451,126685,7684,6027,1658,3418,2137,1281,3564,3270,221,8,2448,1116,5196000
2011,Norway,2837,17983,19985,111,17,1075,1623,1586,2661,125937,7779,6032,1746,3424,2098,1326,3866,3556,252,10,2812,1054,5196000
2012,Norway,2781,17391,21603,27,11,1116,1484,1510,2626,133492,7941,6041,1900,3413,2112,1301,4052,3720,248,16,2786,1197,5196000
2013,Norway,2566,15740,23118,46,12,1136,1667,1365,2501,126668,8248,6188,2060,3406,2095,1311,3869,3628,200,8,2624,1212,5196000
2014,Norway,2377,14890,22111,29,10,1127,1063,1985,3112,112929,8603,6306,2297,3509,2136,1374,3921,3720,196,5,2867,1054,5196000
2008,Scotland,79892,25496,10315,95,319,821,2963,3297,4118,117033,16675,12711,3964,3321,2531,790,7827,6438,367,1022,7559,268,5295000
2009,Scotland,5621,23774,9901,84,269,884,2496,3412,4296,106587,17273,12924,4349,3694,2809,885,7964,6561,380,1023,7654,310,5295000
2010,Scotland,5493,25017,7138,95,260,997,2557,3220,4217,107894,17217,12758,4459,3708,2782,926,7853,6602,385,866,7581,272,5295000
2011,Scotland,4693,24222,6684,91,219,1183,2244,2908,4091,108956,17343,12707,4636,3549,2736,813,8178,6974,424,780,7905,273,5295000
2012,Scotland,3643,21515,5136,73,227,1372,1832,3008,4380,94551,17436,12676,4760,4350,3256,1094,8057,6941,425,691,7769,288,5295000
2013,Scotland,3268,22272,4806,63,254,1690,1499,3405,5095,95894,17258,12465,4793,4510,3319,1191,7894,6921,406,567,7626,268,5295000
2014,Scotland,3166,20607,4787,60,234,1797,1497,3727,5524,89598,17254,12377,4877,4628,3357,1271,7731,6800,399,532,7591,140,5295000
2008,Slovakia,2702,15159,538,94,3,152,1371,651,702,29608,20116,17623,2493,4876,3858,1018,8166,7591,408,167,8020,146,5424000
2009,Slovakia,2618,15394,613,84,6,142,1358,620,688,27770,21826,18717,3109,4971,3903,1068,9316,8671,488,157,9148,168,5424000
2010,Slovakia,2426,14783,584,89,4,117,1188,714,692,24464,21559,18361,3198,4983,3936,1047,10031,9340,551,140,9834,197,5424000
2011,Slovakia,2227,12884,846,96,4,150,851,667,715,22505,21180,17959,3221,5019,3959,1060,10525,9775,618,132,10331,194,5424000
2012,Slovakia,2183,11855,756,75,7,88,974,701,721,20837,21733,18196,3537,4972,3920,1052,10850,10067,646,137,10644,206,5424000
2013,Slovakia,2017,11167,724,78,4,91,836,643,730,20708,22404,18730,3674,4990,3948,1042,9753,9071,583,99,9565,188,5424000
2014,Slovakia,1957,9427,1609,58,10,87,680,679,766,18568,22454,18710,3744,5003,3939,1064,10020,9316,611,93,9843,177,5424000
2008,Sweden,84566,94278,7997,82,10,4901,8909,9157,14058,391729,18321,13975,4346,7700,4321,3379,7073,6666,392,15,5011,2062,9799000
2009,Sweden,86281,95824,8192,93,7,5453,9570,9545,14998,385519,19144,14167,4977,6911,4767,2144,7286,6906,374,6,4975,2311,9799000
2010,Sweden,87854,92722,10321,91,7,5479,9219,10058,15537,367965,20292,14757,5535,6987,5135,1852,6846,6437,394,15,5113,1733,9799000
2011,Sweden,89457,94316,10423,81,8,6059,9719,10036,16095,380558,20398,16001,4397,7043,4897,2146,6669,6272,390,7,5199,1470,9799000
2012,Sweden,87052,88066,13914,68,12,5949,9213,10225,16174,379494,19890,14077,5813,7211,5313,1898,6296,5922,362,12,4312,1984,9799000
2013,Sweden,80374,85453,13669,87,6,5634,8361,11268,16902,383038,19911,13940,5971,7073,5071,2002,5723,5383,330,10,3870,1853,9799000
2014,Sweden,83324,88798,11842,87,3,6294,8364,13218,19512,385394,20051,13917,6134,7221,5134,2087,5702,5377,316,9,3908,1794,9799000
2008,Wales,25147,34895,1793,38,122,786,4808,1333,2119,65565,8626,6549,2167,3074,1968,1106,4900,4489,260,152,4241,606,3063000
2009,Wales,23983,32439,1993,36,112,904,4506,1334,2238,58457,8624,6405,2219,2788,1813,975,4910,4532,251,127,4252,598,3063000
2010,Wales,22013,31361,1940,38,103,954,4571,1393,2347,58716,8347,6155,2192,2701,1750,952,5040,4689,252,99,4258,613,3063000
2011,Wales,20212,30063,1879,32,91,962,4481,1336,2298,58901,8046,5888,2158,2530,1634,895,5066,4722,249,95,4380,594,3063000
2012,Wales,18657,27588,1785,33,83,982,3909,1353,2336,61680,7775,5651,2124,2400,1565,835,5093,4771,245,77,4392,586,3063000
2013,Wales,19292,26593,1761,32,104,1245,3470,1583,2828,59599,7675,5535,2139,2052,1334,718,4913,4633,228,52,4328,536,3063000
2014,Wales,22359,24687,1622,33,132,1356,3014,2115,3871,56090,7609,5465,2144,1939,1250,689,5021,4742,234,44,4438,545,3063000
